,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The 600 Essential Korean Words,,,,,,,,,,,,,,,,,,,,,,,,,,
,Click 'File' -> 'Make a Copy' to make your own copy of this spreadsheet.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Visit us over at thinkinkorean.com to get more weekly tips and resources to help you learn Korean!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#,Korean,English,,,,,,,,,,,,,,,,,,,,,,,,
,159,간판,signboard,,,,,,,,,,,,,,,,,,,,,,,,
,160,과학,science,,,,,,,,,,,,,,,,,,,,,,,,
,161,하느님,god,,,,,,,,,,,,,,,,,,,,,,,,
,162,밴드,band,,,,,,,,,,,,,,,,,,,,,,,,
,163,노래,song,,,,,,,,,,,,,,,,,,,,,,,,
,164,악기,musical instrument,,,,,,,,,,,,,,,,,,,,,,,,
,165,음악,music,,,,,,,,,,,,,,,,,,,,,,,,
,166,영화,movie,,,,,,,,,,,,,,,,,,,,,,,,
,167,미술,art,,,,,,,,,,,,,,,,,,,,,,,,
,168,커피,coffee,,,,,,,,,,,,,,,,,,,,,,,,
,169,차,tea,,,,,,,,,,,,,,,,,,,,,,,,
,170,맥주,beer,,,,,,,,,,,,,,,,,,,,,,,,
,171,쥬스,juice,,,,,,,,,,,,,,,,,,,,,,,,
,172,물,water,,,,,,,,,,,,,,,,,,,,,,,,
,173,우유,milk,,,,,,,,,,,,,,,,,,,,,,,,
,174,음료수,beverage,,,,,,,,,,,,,,,,,,,,,,,,
,175,계란,egg,,,,,,,,,,,,,,,,,,,,,,,,
,176,치즈,cheese,,,,,,,,,,,,,,,,,,,,,,,,
,177,국물,"soup, broth",,,,,,,,,,,,,,,,,,,,,,,,
,178,케이크,cake,,,,,,,,,,,,,,,,,,,,,,,,
,179,닭,chicken,,,,,,,,,,,,,,,,,,,,,,,,
,180,돼지고기,pork,,,,,,,,,,,,,,,,,,,,,,,,
,181,소고기,beef,,,,,,,,,,,,,,,,,,,,,,,,
,182,사과,apple,,,,,,,,,,,,,,,,,,,,,,,,
,183,바나나,banana,,,,,,,,,,,,,,,,,,,,,,,,
,184,오렌지,orange,,,,,,,,,,,,,,,,,,,,,,,,
,185,레몬,lemon,,,,,,,,,,,,,,,,,,,,,,,,
,186,옥수수,corn,,,,,,,,,,,,,,,,,,,,,,,,
,187,쌀,uncooked rice,,,,,,,,,,,,,,,,,,,,,,,,
,188,밥,rice; meal,,,,,,,,,,,,,,,,,,,,,,,,
,189,식용유,cooking oil,,,,,,,,,,,,,,,,,,,,,,,,
,190,씨,seed,,,,,,,,,,,,,,,,,,,,,,,,
,191,칼,knife,,,,,,,,,,,,,,,,,,,,,,,,
,192,숟가락,spoon,,,,,,,,,,,,,,,,,,,,,,,,
,193,포크,fork,,,,,,,,,,,,,,,,,,,,,,,,
,194,접시,plate,,,,,,,,,,,,,,,,,,,,,,,,
,195,컵,cup,,,,,,,,,,,,,,,,,,,,,,,,
,196,아침,morning; breakfast,,,,,,,,,,,,,,,,,,,,,,,,
,197,점심,lunch,,,,,,,,,,,,,,,,,,,,,,,,
,198,저녁,dinner; evening,,,,,,,,,,,,,,,,,,,,,,,,
,199,설탕,sugar,,,,,,,,,,,,,,,,,,,,,,,,
,200,소금,salt,,,,,,,,,,,,,,,,,,,,,,,,
,201,병,bottle,,,,,,,,,,,,,,,,,,,,,,,,
,202,음식,food,,,,,,,,,,,,,,,,,,,,,,,,
,203,책상,desk,,,,,,,,,,,,,,,,,,,,,,,,
,204,탁자,coffee table,,,,,,,,,,,,,,,,,,,,,,,,
,205,식탁,dining table,,,,,,,,,,,,,,,,,,,,,,,,
,206,의자,chair,,,,,,,,,,,,,,,,,,,,,,,,
,207,침대,bed,,,,,,,,,,,,,,,,,,,,,,,,
,208,꿈,dream,,,,,,,,,,,,,,,,,,,,,,,,
,209,창문,window,,,,,,,,,,,,,,,,,,,,,,,,
,210,문,door,,,,,,,,,,,,,,,,,,,,,,,,
,211,침실,bedroom,,,,,,,,,,,,,,,,,,,,,,,,
,212,부엌,kitchen,,,,,,,,,,,,,,,,,,,,,,,,
,213,화장실,bathroom,,,,,,,,,,,,,,,,,,,,,,,,
,214,연필,pencil,,,,,,,,,,,,,,,,,,,,,,,,
,215,볼팬,pen,,,,,,,,,,,,,,,,,,,,,,,,
,216,사진,photo,,,,,,,,,,,,,,,,,,,,,,,,
,217,비누,soap,,,,,,,,,,,,,,,,,,,,,,,,
,218,책,book,,,,,,,,,,,,,,,,,,,,,,,,
,219,페이지,page,,,,,,,,,,,,,,,,,,,,,,,,
,220,열쇠,key,,,,,,,,,,,,,,,,,,,,,,,,
,221,페인트,paint,,,,,,,,,,,,,,,,,,,,,,,,
,222,편지,letter,,,,,,,,,,,,,,,,,,,,,,,,
,223,메모,note,,,,,,,,,,,,,,,,,,,,,,,,
,224,벽,wall,,,,,,,,,,,,,,,,,,,,,,,,
,225,종이,paper,,,,,,,,,,,,,,,,,,,,,,,,
,226,천장,ceiling,,,,,,,,,,,,,,,,,,,,,,,,
,227,지붕,roof,,,,,,,,,,,,,,,,,,,,,,,,
,228,수영장,swimming pool,,,,,,,,,,,,,,,,,,,,,,,,
,229,자물쇠,lock,,,,,,,,,,,,,,,,,,,,,,,,
,230,전화기,phone,,,,,,,,,,,,,,,,,,,,,,,,
,231,정원,garden,,,,,,,,,,,,,,,,,,,,,,,,
,232,마당,yard,,,,,,,,,,,,,,,,,,,,,,,,
,233,바늘,needle,,,,,,,,,,,,,,,,,,,,,,,,
,234,가방,bag,,,,,,,,,,,,,,,,,,,,,,,,
,235,상자,box,,,,,,,,,,,,,,,,,,,,,,,,
,236,선물,"gift, present",,,,,,,,,,,,,,,,,,,,,,,,
,237,카드,card,,,,,,,,,,,,,,,,,,,,,,,,
,238,반지,ring,,,,,,,,,,,,,,,,,,,,,,,,
,239,도구,tool,,,,,,,,,,,,,,,,,,,,,,,,
,240,시계,"clock, watch",,,,,,,,,,,,,,,,,,,,,,,,
,241,램프,lamp,,,,,,,,,,,,,,,,,,,,,,,,
,242,휴대폰,cell phone,,,,,,,,,,,,,,,,,,,,,,,,
,243,네트워크,network,,,,,,,,,,,,,,,,,,,,,,,,
,244,컴퓨터,computer,,,,,,,,,,,,,,,,,,,,,,,,
,245,노트북,laptop,,,,,,,,,,,,,,,,,,,,,,,,
,246,화면,screen,,,,,,,,,,,,,,,,,,,,,,,,
,247,카메라,camera,,,,,,,,,,,,,,,,,,,,,,,,
,248,텔레비전,television,,,,,,,,,,,,,,,,,,,,,,,,
,249,라디오,radio,,,,,,,,,,,,,,,,,,,,,,,,
,250,머리,head,,,,,,,,,,,,,,,,,,,,,,,,
,251,목,neck,,,,,,,,,,,,,,,,,,,,,,,,
,252,얼굴,face,,,,,,,,,,,,,,,,,,,,,,,,
,253,턱수염,beard,,,,,,,,,,,,,,,,,,,,,,,,
,254,머리카락,hair,,,,,,,,,,,,,,,,,,,,,,,,
,255,눈,eye,,,,,,,,,,,,,,,,,,,,,,,,
,256,입,mouth,,,,,,,,,,,,,,,,,,,,,,,,
,257,입술,lips,,,,,,,,,,,,,,,,,,,,,,,,
,258,코,nose,,,,,,,,,,,,,,,,,,,,,,,,
,259,이빨,tooth,,,,,,,,,,,,,,,,,,,,,,,,
,260,귀,ear,,,,,,,,,,,,,,,,,,,,,,,,
,261,눈물,tears,,,,,,,,,,,,,,,,,,,,,,,,
,262,혀,tongue,,,,,,,,,,,,,,,,,,,,,,,,
,263,등,back,,,,,,,,,,,,,,,,,,,,,,,,
,264,허리,"waist, lower back",,,,,,,,,,,,,,,,,,,,,,,,
,265,발가락,toe,,,,,,,,,,,,,,,,,,,,,,,,
,266,손가락,finger,,,,,,,,,,,,,,,,,,,,,,,,
,267,발,foot,,,,,,,,,,,,,,,,,,,,,,,,
,268,손,hand,,,,,,,,,,,,,,,,,,,,,,,,
,269,팔,arm,,,,,,,,,,,,,,,,,,,,,,,,
,270,어깨,shoulder,,,,,,,,,,,,,,,,,,,,,,,,
,271,심장,heart,,,,,,,,,,,,,,,,,,,,,,,,
,272,피,blood,,,,,,,,,,,,,,,,,,,,,,,,
,273,뇌,brain,,,,,,,,,,,,,,,,,,,,,,,,
,274,무릅,knee,,,,,,,,,,,,,,,,,,,,,,,,
,275,땀,sweat,,,,,,,,,,,,,,,,,,,,,,,,
,276,병,disease; illness,,,,,,,,,,,,,,,,,,,,,,,,
,277,뼈,bone,,,,,,,,,,,,,,,,,,,,,,,,
,278,목소리,voice,,,,,,,,,,,,,,,,,,,,,,,,
,279,피부,skin,,,,,,,,,,,,,,,,,,,,,,,,
,280,몸,body,,,,,,,,,,,,,,,,,,,,,,,,
,281,바다,"sea, ocean",,,,,,,,,,,,,,,,,,,,,,,,
,282,강,river,,,,,,,,,,,,,,,,,,,,,,,,
,283,산,mountain,,,,,,,,,,,,,,,,,,,,,,,,
,284,비,rain,,,,,,,,,,,,,,,,,,,,,,,,
,285,눈,snow; eye,,,,,,,,,,,,,,,,,,,,,,,,
,286,달,moon; month,,,,,,,,,,,,,,,,,,,,,,,,
,287,세계,world,,,,,,,,,,,,,,,,,,,,,,,,
,288,지구,earth,,,,,,,,,,,,,,,,,,,,,,,,
,289,숲,forest,,,,,,,,,,,,,,,,,,,,,,,,
,290,하늘,sky,,,,,,,,,,,,,,,,,,,,,,,,
,291,식물,plant,,,,,,,,,,,,,,,,,,,,,,,,
,292,바람,wind,,,,,,,,,,,,,,,,,,,,,,,,
,293,토양,soil,,,,,,,,,,,,,,,,,,,,,,,,
,294,꽃,flower,,,,,,,,,,,,,,,,,,,,,,,,
,295,계곡,valley,,,,,,,,,,,,,,,,,,,,,,,,
,296,뿌리,root,,,,,,,,,,,,,,,,,,,,,,,,
,297,호수,lake,,,,,,,,,,,,,,,,,,,,,,,,
,298,별,star,,,,,,,,,,,,,,,,,,,,,,,,
,299,잔디,grass,,,,,,,,,,,,,,,,,,,,,,,,
,300,나뭇잎,leaf,,,,,,,,,,,,,,,,,,,,,,,,
,301,공기,air,,,,,,,,,,,,,,,,,,,,,,,,
,302,모래,sand,,,,,,,,,,,,,,,,,,,,,,,,
,303,해변,beach,,,,,,,,,,,,,,,,,,,,,,,,
,304,파도,wave,,,,,,,,,,,,,,,,,,,,,,,,
,305,불,fire,,,,,,,,,,,,,,,,,,,,,,,,
,306,어름,ice,,,,,,,,,,,,,,,,,,,,,,,,
,307,섬,island,,,,,,,,,,,,,,,,,,,,,,,,
,308,언덕,hill,,,,,,,,,,,,,,,,,,,,,,,,
,309,열,fever; heat,,,,,,,,,,,,,,,,,,,,,,,,
,310,자연,nature,,,,,,,,,,,,,,,,,,,,,,,,
,311,유리,glass,,,,,,,,,,,,,,,,,,,,,,,,
,312,금속,metal,,,,,,,,,,,,,,,,,,,,,,,,
,313,플라스틱,plastic,,,,,,,,,,,,,,,,,,,,,,,,
,314,나무,"tree, wood",,,,,,,,,,,,,,,,,,,,,,,,
,315,돌,"stone, pebble",,,,,,,,,,,,,,,,,,,,,,,,
,316,다이아몬드,diamond,,,,,,,,,,,,,,,,,,,,,,,,
,317,찰흙,clay,,,,,,,,,,,,,,,,,,,,,,,,
,318,먼지,"dust, dirt",,,,,,,,,,,,,,,,,,,,,,,,
,319,금,gold,,,,,,,,,,,,,,,,,,,,,,,,
,320,구리,copper,,,,,,,,,,,,,,,,,,,,,,,,
,321,은,silver,,,,,,,,,,,,,,,,,,,,,,,,
,322,재료,"ingredient, material",,,,,,,,,,,,,,,,,,,,,,,,
,323,미터,meter,,,,,,,,,,,,,,,,,,,,,,,,
,324,센티미터,centimeter,,,,,,,,,,,,,,,,,,,,,,,,
,325,킬로미터,kilometer,,,,,,,,,,,,,,,,,,,,,,,,
,326,반,half,,,,,,,,,,,,,,,,,,,,,,,,
,327,서클,circle,,,,,,,,,,,,,,,,,,,,,,,,
,328,정사각형,square,,,,,,,,,,,,,,,,,,,,,,,,
,329,온도,temperature,,,,,,,,,,,,,,,,,,,,,,,,
,330,날짜,date,,,,,,,,,,,,,,,,,,,,,,,,
,331,무게,weight,,,,,,,,,,,,,,,,,,,,,,,,
,332,가장자리,edge,,,,,,,,,,,,,,,,,,,,,,,,
,333,지도,map,,,,,,,,,,,,,,,,,,,,,,,,
,334,점,point,,,,,,,,,,,,,,,,,,,,,,,,
,335,자음,consonant,,,,,,,,,,,,,,,,,,,,,,,,
,336,모음,vowel,,,,,,,,,,,,,,,,,,,,,,,,
,337,가벼운,light (weight),,,,,,,,,,,,,,,,,,,,,,,,
,338,소리,sound,,,,,,,,,,,,,,,,,,,,,,,,
,339,네,"yes, I see, okay (formal)",,,,,,,,,,,,,,,,,,,,,,,,
,340,아니요,No (formal),,,,,,,,,,,,,,,,,,,,,,,,
,341,조각,piece,,,,,,,,,,,,,,,,,,,,,,,,
,342,아픔,pain,,,,,,,,,,,,,,,,,,,,,,,,
,343,상처,wound,,,,,,,,,,,,,,,,,,,,,,,,
,344,구멍,hole,,,,,,,,,,,,,,,,,,,,,,,,
,345,이미지,image,,,,,,,,,,,,,,,,,,,,,,,,
,346,패턴,pattern,,,,,,,,,,,,,,,,,,,,,,,,
,347,명사,noun,,,,,,,,,,,,,,,,,,,,,,,,
,348,동사,verb,,,,,,,,,,,,,,,,,,,,,,,,
,349,형용사,adjective,,,,,,,,,,,,,,,,,,,,,,,,
,350,위에,above,,,,,,,,,,,,,,,,,,,,,,,,
,351,아래,under,,,,,,,,,,,,,,,,,,,,,,,,
,352,옆면,side of,,,,,,,,,,,,,,,,,,,,,,,,
,353,뒷면,back side,,,,,,,,,,,,,,,,,,,,,,,,
,354,안에,inside,,,,,,,,,,,,,,,,,,,,,,,,
,355,밖에,outside,,,,,,,,,,,,,,,,,,,,,,,,
,356,왼쪽,left side,,,,,,,,,,,,,,,,,,,,,,,,
,357,오른쪽,right side,,,,,,,,,,,,,,,,,,,,,,,,
,358,곧장,straight,,,,,,,,,,,,,,,,,,,,,,,,
,359,북쪽,north,,,,,,,,,,,,,,,,,,,,,,,,
,360,남쪽,south,,,,,,,,,,,,,,,,,,,,,,,,
